Badge Enum,Maps To
2004,2003
2005,2003
2007,2006
2008,2006
2009,2006
2011,2010
2012,2010
2013,2010
2014,2010
2015,2010
2016,2010
2017,2010
2018,2010
2019,2010
2021,2020
2022,2020
2023,2020
2024,2020
2025,2020
2026,2020
2027,2020
2028,2020
2029,2020
2030,2020
2031,2020
2032,2020
2033,2020
2034,2020
2036,2035
2037,2035
2038,2010
2039,2010
2040,2010
2041,2010
2042,2010
2043,2010
2044,2010
2045,2010
2046,2010
2047,2010
2049,2048
2050,2048
2051,2048
2052,2048
2054,2053
2055,2053
2056,2053
2057,2053
2058,2053
2059,2053
2060,2053
2061,2053
2062,2053
2063,2053
2064,2053
2065,2053
2066,2053
2067,2053
2068,2053
2069,2053
2070,2053
2071,2053
2072,2053
2073,2053
2074,2053
2075,2053
2076,2053
2077,2053
2078,2053
2079,2053
2080,2053
2081,2053
2082,2053
2083,2053
2084,2053
2085,2053
2086,2053
2087,2053
2088,2053
2089,2053
2090,2053
2091,2053
2092,2053
2094,2053
2095,2053
2093,2053
5002,5001
5003,5001
5004,5001
5005,5001
5006,5001
5007,5001
5008,5001
5009,5001
5010,5001
5011,5001
5012,5001
5013,5001
5014,5001
5015,5001
5016,5001
5017,5001
5018,5001
5019,5001
5020,5001
5022,5021
5023,5021
5024,5021
5025,5021
5026,5021
5027,5021
5028,5021
5029,5021
5030,5021
5032,5031
5033,5031
5034,5031
5035,5031
5036,5031
5037,5031
5038,5031
5040,5039
5041,5039
5042,5039
5043,5039
5044,5039
5045,5039
5046,5039
5048,5047
5049,5047
5050,5047
5051,5047
5052,5047
5053,5047
5054,5047
5056,5055
5057,5055
5058,5055
5059,5055
5060,5055
5061,5055
5062,5055
5064,5063
5065,5063
5066,5063
5067,5063
5068,5063
5069,5063
5070,5063
5072,5071
5075,5073
5076,5074
5201,5100
5202,5100
5203,5100
5204,5100
5205,5100
5206,5100
5207,5100
5209,5208
5210,5208
5211,5208
5212,5208
5213,5208
5214,5208
5215,5208
5216,5208
5217,5100
5218,5100
5219,5100
5220,5100
5222,5100
5223,5100
5224,5100
5225,5100
5226,5100
5227,5100
5228,5100
5233,5232
5235,5234
5236,5234
5237,5234
5238,5234
5239,5234
5240,5234
5241,5234
5242,5234
5243,5234
5245,5244
5248,5246
5249,5247
5251,5250
5252,5250
5253,5250
5254,5100
5255,5100
5256,5100
5257, 5100
5258, 5100
5259, 5100
5261,5260
5262,5100
5263,5100
5264,5100
5266,5100
5268,5267
5269,5267
5270,5267
5271,5267
5272,5267
5273,5267
5274,5267
5275,5100
5276,5100
5277,5100
5278,5100
5279,5100
5280,5260
5287,5286
5288,5286
5289,5286
5290,5286
5291,5286
5292,5286
5293,5286
5294,5260
5295,5260
5296,5260
5297,5260
5302, 5021
5303, 5021
5304, 5021
5305, 5021
5306, 5021
5307, 5021
5308, 5021
5309, 5021
5310, 5001
5311, 5001
5312, 5001
5313, 5001
5314, 5001
5315, 5001
5316, 5001
5317, 5001
5318, 5001
5319, 5001
5320, 5001
5321, 5001
5322, 5001
5323, 5001
5324, 5001
5325, 5001
5326, 5031
5327, 5031
5328, 5031
5329, 5031
5330, 5031
5331, 5031
5332, 5031
5333, 5031
5334, 5031
5335, 5031
5336, 5031
5337, 5031
5338, 5031
5339, 5031
5340, 5031
5341, 5031
5342, 5021
5343, 5021
5344, 5021
5345, 5021
5346, 5001
5347, 5001
5348, 5001
5349, 5001
5350, 5031
5351, 5031
5352, 5031
5353, 5031
5371,5100
5372,5260
5373,5260
5374,5260
5375,5260
5376,5260
5455, 5454
5456, 5454
5457, 5454
5458, 5454
5459, 5454
5460, 5454
5461, 5454
5463, 5462
5464, 5462
5465, 5462
5466, 5462
5467, 5462
5468, 5462
5469, 5462
5472, 5470
5473, 5471
5474, 5250
5475, 5250
5476, 5250
5477, 5250
5478, 5250
5479, 5250
5480, 5250
5481,5031
5482,5031
5483,5031
5484,5031
5485,5031
5486,5031
5487,5031
5488,5031
5489,5031
5490,5031
5491,5031
5492,5031
5493,5031
5494,5031
5495,5031
5496,5031
5497,5031
5498,5031
5499,5031
5500,5031
5501,5031
5502,5021
5503,5021
5504,5021
5505,5021
5506,5021
5507,5021
5508,5021
5509,5021
5510,5021
5511,5021
5512,5021
5513,5021
5514,5021
5515,5021
5516,5021
5517,5021
5518,5021
5519,5021
5520,5021
5521,5021
5522,5021
5523,5001
5524,5001
5525,5001
5526,5001
5527,5001
5528,5001
5529,5001
5530,5001
5531,5001
5532,5001
5533,5001
5534,5001
5535,5001
5536,5001
5537,5001
5538,5001
5539,5001
5540,5001
5541,5001
5542,5001
5543,5001
5545,5544
5547,5546
5548,5546
5549,5546
5550,5546
5552,5551
5553,5551
5554,5551
5555,5551
5557,5556
5558,5556
5559,5556
5560,5556
5563,5561
5564,5562
5565,5260
5566,5260
5567,5260
5568,5260
5569,5250
5570,5250
5571,5250
5572,5250
5573,5250
5574,5250
5575,5250
5576,5250
5577,5250
5578,5250
5579,5250
5580,5250
5582,5581
5583,5581
5584,5581
5585,5581
5586,5581
5587,5581
5588,5260
5589,5260
5590,5260
5591,5260
5593,5592
5594,5031
5595,5031
5596,5031
5597,5031
5598,5031
5599,5031
5600,5031
5601,5031
5602,5031
5603,5031
5604,5031
5605,5031
5606,5031
5607,5031
5608,5031
5609,5031
5610,5031
5611,5031
5612,5031
5613,5031
5614,5031
5615,5031
5616,5031
5617,5031
5618,5031
5619,5031
5620,5031
5621,5031
5622,5031
5623,5031
5624,5021
5625,5021
5626,5021
5627,5021
5628,5021
5629,5021
5630,5021
5630,5021
5631,5021
5632,5021
5633,5021
5634,5021
5635,5021
5636,5021
5637,5021
5638,5021
5639,5021
5640,5021
5641,5021
5642,5021
5643,5021
5644,5021
5645,5021
5646,5001
5647,5001
5648,5001
5649,5001
5650,5001
5651,5001
5652,5001
5653,5001
5654,5001
5655,5001
5656,5001
5657,5001
5658,5001
5659,5001
5660,5001
5661,5001
5662,5001
5663,5001
5664,5001
5665,5001
5666,5001
5667,5001
5668,5031
5669,5031
5670,5031
5671,5031
5672,5031
5673,5260
5674,5260
5675,5260
5676,5260
5677,5260
5678,5260
5680,5679
5681,5679
5682,5679
5683,5679
5684,5679
5685,5679
5687,5686
5688,5686
5689,5686
5690,5686
5691,5686
5692,5686
5693,5686
5695,5694
5696,5694
5697,5694
5698,5694
5699,5694
5700,5694
5701,5694
5702,5694
5703,5694
5704,5694
5705,5694
5706,5694
5707,5694
5708,5694
5709,5694
5710,5694
5711,5694
5712,5694
5716,5715
5717,5715
5718,5715
5719,5715
5720,5715
5721,5715
5723,5722
5724,5722
5725,5722
5726,5722
5727,5722
5728,5722
5729,5250
5730,5250
5731,5250
5732,5250
5733,5250
5734,5250
5735,5250
5736,5250
5737,5250
5738,5250
5739,5250
5740,5250
5741,5250
5742,5250
5743,5250
5744,5250
5745,5250
5746,5250
5747,5250
5748,5250
5749,5250
5750,5250
5751,5250
5752,5250
5753,5250
5754,5250
5755,5250
5756,5250
5757,5250
5758,5250
5759,5250
5760,5250
5761,5250
5762,5250
5769,5768
5770,5768
5771,5768
5772,5768
5773,5768
5774,5768
5776,5775
5777,5775
5778,5775
5779,5775
5780,5775
5781,5775
5783,5782
5784,5782
5785,5782
5786,5782
5787,5782
5788,5782
5790,5789
5791,5789
5792,5789
5793,5789
5794,5789
5795,5789
5797,5796
5798,5796
5799,5031
5800,5031
5801,5031
5802,5031
5803,5031
5804,5031
5805,5031
5806,5031
5807,5031
5808,5031
5809,5031
5810,5031
5811,5031
5812,5031
5813,5031
5814,5031
5815,5031
5816,5031
5817,5031
5818,5031
5819,5031
5820,5031
5821,5031
5822,5031
5823,5031
5824,5001
5825,5001
5826,5001
5827,5001
5828,5001
5829,5001
5830,5001
5831,5001
5832,5001
5833,5001
5834,5001
5835,5001
5836,5001
5837,5001
5838,5001
5839,5001
5840,5001
5841,5001
5842,5001
5843,5001
5844,5001
5845,5001
5846,5001
5847,5001
5848,5001
5849,5021
5850,5021
5851,5021
5852,5021
5853,5021
5854,5021
5855,5021
5856,5021
5857,5021
5858,5021
5859,5021
5860,5021
5861,5021
5862,5021
5863,5021
5864,5021
5865,5021
5866,5021
5867,5021
5868,5021
5869,5021
5870,5021
5871,5021
5872,5021
5873,5021
5993,5992
5994,5992
5995,5992
5996,5992
5997,5992
5998,5992
6000,5999
6001,5999
6002,5999
6003,5999
6004,5999
6005,5999
6007,6006
6008,6006
6009,6006
6010,6006
6011,6006
6012,6006
6014,6013
6015,6013
6016,6013
6017,6013
6018,6013
6019,6013
6021,6020
6022,6020
6023,6020
6024,6020
6025,6020
6026,6020
6031,5694
6032,5694
6033,5694
6034,5694
6035,5694
6036,5694
6037,5694
6038,5694
6039,5694
6040,5694
6041,5694
6042,5694
6043,5694
6044,5694
6046,6045
6047,6045
6048,6045
6049,6045
6050,6045
6051,6045
6053,6052
6054,6052
6055,6052
6056,6052
6057,6052
6058,6052
6060,6059
6061,6059
6062,6059
6063,6059
6064,6059
6065,6059
