BadgeEnum,Text,FrameIndex,PinIndex,PinAnchorX,PinAnchorY,Padding
1002, , 3, -1, 0.00, 0.00, 0.0
5001, 2019, 0,  0, 0.44, 0.65, 0.0
5002, 2019, 0,  0, 0.44, 0.65, 0.0
5003, 2019, 0,  0, 0.44, 0.65, 0.0
5004, 2019, 0,  0, 0.44, 0.65, 0.0
5005, 2019, 0,  0, 0.44, 0.65, 0.0
5006, 2019, 0,  0, 0.44, 0.65, 0.0
5007, 2019, 0,  0, 0.44, 0.65, 0.0
5008, 2019, 0,  0, 0.44, 0.65, 0.0
5009, 2019, 0,  0, 0.44, 0.65, 0.0
5010, 2019, 0,  0, 0.44, 0.65, 0.0
5011, 2019, 0,  0, 0.44, 0.65, 0.0
5012, 2019, 0,  0, 0.44, 0.65, 0.0
5013, 2019, 0,  0, 0.44, 0.65, 0.0
5014, 2019, 0,  0, 0.44, 0.65, 0.0
5015, 2019, 0,  0, 0.44, 0.65, 0.0
5016, 2019, 0,  0, 0.44, 0.65, 0.0
5017, 2019, 0,  0, 0.44, 0.65, 0.0
5018, 2019, 0,  0, 0.44, 0.65, 0.0
5019, 2019, 0,  0, 0.44, 0.65, 0.0
5020, 2019, 0,  0, 0.44, 0.65, 0.0
5021, 2019, 0,  0, 0.32, 0.65, 0.0
5022, 2019, 0,  0, 0.32, 0.65, 0.0
5023, 2019, 0,  0, 0.32, 0.65, 0.0
5024, 2019, 0,  0, 0.32, 0.65, 0.0
5025, 2019, 0,  0, 0.32, 0.65, 0.0
5026, 2019, 0,  0, 0.32, 0.65, 0.0
5027, 2019, 0,  0, 0.32, 0.65, 0.0
5028, 2019, 0,  0, 0.32, 0.65, 0.0
5029, 2019, 0,  0, 0.32, 0.65, 0.0
5030, 2019, 0,  0, 0.32, 0.65, 0.0
5031, 2019, 0,  0, 0.53, 0.67, 0.0
5032, 2019, 0,  0, 0.53, 0.67, 0.0
5033, 2019, 0,  0, 0.53, 0.67, 0.0
5034, 2019, 0,  0, 0.53, 0.67, 0.0
5035, 2019, 0,  0, 0.53, 0.67, 0.0
5036, 2019, 0,  0, 0.53, 0.67, 0.0
5037, 2019, 0,  0, 0.53, 0.67, 0.0
5038, 2019, 0,  0, 0.53, 0.67, 0.0
5039, 2019, 1, -1, 0.00, 0.00, 0.0
5040, 2019, 1, -1, 0.00, 0.00, 0.0
5041, 2019, 1, -1, 0.00, 0.00, 0.0
5042, 2019, 1, -1, 0.00, 0.00, 0.0
5043, 2019, 1, -1, 0.00, 0.00, 0.0
5044, 2019, 1, -1, 0.00, 0.00, 0.0
5045, 2019, 1, -1, 0.00, 0.00, 0.0
5046, 2019, 1, -1, 0.00, 0.00, 0.0
5047, 2020, 1, -1, 0.00, 0.00, 0.0
5048, 2020, 1, -1, 0.00, 0.00, 0.0
5049, 2020, 1, -1, 0.00, 0.00, 0.0
5050, 2020, 1, -1, 0.00, 0.00, 0.0
5051, 2020, 1, -1, 0.00, 0.00, 0.0
5052, 2020, 1, -1, 0.00, 0.00, 0.0
5053, 2020, 1, -1, 0.00, 0.00, 0.0
5054, 2020, 1, -1, 0.00, 0.00, 0.0
5055, 2020, 1, -1, 0.00, 0.00, 0.0
5056, 2020, 1, -1, 0.00, 0.00, 0.0
5057, 2020, 1, -1, 0.00, 0.00, 0.0
5058, 2020, 1, -1, 0.00, 0.00, 0.0
5059, 2020, 1, -1, 0.00, 0.00, 0.0
5060, 2020, 1, -1, 0.00, 0.00, 0.0
5061, 2020, 1, -1, 0.00, 0.00, 0.0
5062, 2020, 1, -1, 0.00, 0.00, 0.0
5063, 2020, 1, -1, 0.00, 0.00, 0.0
5064, 2020, 1, -1, 0.00, 0.00, 0.0
5065, 2020, 1, -1, 0.00, 0.00, 0.0
5066, 2020, 1, -1, 0.00, 0.00, 0.0
5067, 2020, 1, -1, 0.00, 0.00, 0.0
5068, 2020, 1, -1, 0.00, 0.00, 0.0
5069, 2020, 1, -1, 0.00, 0.00, 0.0
5070, 2020, 1, -1, 0.00, 0.00, 0.0
5071, 2020, 0, -1, 0.00, 0.00, 0.0
5072, 2020, 0, -1, 0.00, 0.00, 0.0
5073, 2021, 4, -1, 0.00, 0.00, 0.0
5074, 2021, 4, -1, 0.00, 0.00, 0.0
5075, 2021, 4, -1, 0.00, 0.00, 0.0
5076, 2021, 4, -1, 0.00, 0.00, 0.0
5100, 11.19, 2, -1, 0.00, 0.00, 0.0
5201, 03.20, 2, -1, 0.00, 0.00, 0.0
5202, 04.20, 2, -1, 0.00, 0.00, 0.0
5203, 11.20, 2, -1, 0.00, 0.00, 0.0
5204, 11.20, 2, -1, 0.00, 0.00, 0.0
5205, 11.20, 2, -1, 0.00, 0.00, 0.0
